Date,Product,Category,Supplier,Region,Unit Cost,Selling Price,Weekly Demand,Inventory,Lead Time (days),Delay %,Reorder Point,Safety Stock,Shipping Cost,On-time Delivery %,Stockout Flag,
1/7/2024,iPhone 15,Phone,Foxconn,China,720,999,272,820,18,7,1026,326,8,93,YES,
1/7/2024,Samsung Galaxy S24,Phone,Samsung Electronics,South Korea,650,899,252,760,14,9,806,302,6,91,YES,
1/7/2024,MacBook Air,Laptop,Foxconn,China,980,1299,96,420,21,4,403,115,8,96,NO,
1/7/2024,Dell XPS 13,Laptop,Dell Manufacturing,USA,870,1199,74,360,10,7,195,89,5,93,NO,
1/7/2024,HP Pavilion,Laptop,HP Supply Chain,Vietnam,540,799,130,500,16,7,453,156,7,93,NO,
1/7/2024,Gaming Laptop,Laptop,Taiwan Tech Supply,Taiwan,1100,1599,36,310,24,7,167,43,9,93,NO,
1/7/2024,iPad Air,Tablet,Foxconn,China,430,699,166,640,17,7,602,199,8,93,NO,
1/7/2024,AirPods Pro,Accessory,Foxconn,China,120,249,106,900,12,3,309,127,8,97,NO,
1/7/2024,Sony Headphones,Accessory,Sony Electronics,Japan,150,299,226,540,15,11,755,271,6,89,YES,
1/7/2024,Google Pixel 8,Phone,Google Supply,Vietnam,600,849,288,480,19,4,1127,346,7,96,YES,
1/8/2024,AirPods 3,Accessory,Foxconn,China,100,199,115,310,13,11,352,138,8,89,YES,
1/8/2024,Dell XPS 15,Laptop,Dell Manufacturing,USA,600,1399,142,250,12,3,414,170,5,97,YES,
1/8/2024,iPhone 15 Plus,Phone,Foxconn,China,760,1099,149,540,13,8,456,179,8,92,NO,
1/8/2024,MacBook Pro,Laptop,Foxconn,China,1200,1699,138,120,18,6,520,166,8,94,YES,
1/8/2024,Lenovo ThinkPad,Laptop,Lenovo Manufacturing,China,650,999,138,300,16,7,481,166,8,93,YES,
1/8/2024,Lenovo IdeaPad,Laptop,Lenovo Manufacturing,China,550,899,125,230,14,8,400,150,8,92,YES,
1/14/2024,iPhone 15,Phone,Foxconn,China,720,999,108,790,18,7,407,130,8,93,NO,
1/14/2024,Samsung Galaxy S24,Phone,Samsung Electronics,South Korea,650,899,228,720,14,8,730,274,6,92,YES,
1/14/2024,MacBook Air,Laptop,Foxconn,China,980,1299,116,400,21,9,487,139,8,91,YES,
1/14/2024,Dell XPS 13,Laptop,Dell Manufacturing,USA,870,1199,105,330,10,3,276,126,5,97,NO,
